trace,policy,cache_size,hits,misses,total,hit_rate
input_samples\input1\qwenA_sample_109506,lru,109506,230283,289001,519284,0.4434625368777008
input_samples\input1\qwenA_sample_219012,kv,219012,245309,273975,519284,0.47239853336517207
input_samples\input1\qwenA_sample_219012,lru,219012,245309,273975,519284,0.47239853336517207
input_samples\input1\qwenA_sample_175209,lru,175209,243358,275926,519284,0.46864143705563815
input_samples\input1\qwenA_sample_109506,kv,109506,230283,289001,519284,0.4434625368777008
input_samples\input1\qwenA_sample_175209,kv,175209,243358,275926,519284,0.46864143705563815
input_samples\input1\qwenA_sample_21901,kv,21901,129334,389950,519284,0.24906217021899385
input_samples\input1\qwenA_sample_21901,lru,21901,129334,389950,519284,0.24906217021899385
input_samples\input1\qwenA_sample_10950,lru,10950,99806,419478,519284,0.19219925897967202
input_samples\input1\qwenA_sample_2737,lru,2737,81276,438008,519284,0.1565155098173639
input_samples\input1\qwenA_sample_43802,lru,43802,180418,338866,519284,0.34743608507098234
input_samples\input1\qwenA_sample_27376,lru,27376,142010,377274,519284,0.27347270472419716
input_samples\input1\qwenA_sample_27376,kv,27376,142010,377274,519284,0.27347270472419716
input_samples\input1\qwenA_sample_219012,wa,219012,245356,273928,519284,0.4724890426048174
input_samples\input1\qwenA_sample_2737,fifo,2737,72296,446988,519284,0.13922246785959128
input_samples\input1\qwenA_sample_5475,lru,5475,89067,430217,519284,0.1715188605849593
input_samples\input1\qwenA_sample_43802,kv,43802,180418,338866,519284,0.34743608507098234
input_samples\input1\qwenA_sample_10950,kv,10950,100215,419069,519284,0.19298688193743693
input_samples\input1\qwenA_sample_54753,lru,54753,197601,321683,519284,0.38052587793962456
input_samples\input1\qwenA_sample_5475,kv,5475,91125,428159,519284,0.1754820098443241
input_samples\input1\qwenA_sample_109506,wa,109506,225497,293787,519284,0.4342460002618991
input_samples\input1\qwenA_sample_54753,kv,54753,197601,321683,519284,0.38052587793962456
input_samples\input1\qwenA_sample_175209,wa,175209,243030,276254,519284,0.46800979810662374
input_samples\input1\qwenA_sample_2737,wa,2737,76436,442848,519284,0.14719498386239516
input_samples\input1\qwenA_sample_43802,wa,43802,174233,345051,519284,0.3355254542793539
input_samples\input1\qwenA_sample_2737,kv,2737,79767,439517,519284,0.153609585506197
input_samples\input1\qwenA_sample_87604,lru,87604,220523,298761,519284,0.4246674266875159
input_samples\input1\qwenA_sample_87604,kv,87604,220523,298761,519284,0.4246674266875159
input_samples\input1\qwenA_sample_5475,fifo,5475,80834,438450,519284,0.15566433781899694
input_samples\input1\qwenA_sample_5475,wa,5475,84050,435234,519284,0.1618574806849431
input_samples\input1\qwenA_sample_21901,wa,21901,126095,393189,519284,0.24282473559747653
input_samples\input1\qwenA_sample_10950,fifo,10950,93422,425862,519284,0.1799054082159281
input_samples\input1\qwenA_sample_21901,fifo,21901,122522,396762,519284,0.23594410765592624
input_samples\input1\qwenA_sample_27376,wa,27376,140187,379097,519284,0.2699621016630591
input_samples\input1\qwenA_sample_10950,wa,10950,96556,422728,519284,0.18594064134462068
input_samples\input1\qwenA_sample_54753,wa,54753,192011,327273,519284,0.36976105560733624
input_samples\input1\qwenA_sample_87604,wa,87604,219161,300123,519284,0.4220445844663036
input_samples\input1\qwenA_sample_27376,fifo,27376,137439,381845,519284,0.26467019973656036
input_samples\input1\qwenA_sample_219012,fifo,219012,243572,275712,519284,0.4690535429553
input_samples\input1\qwenA_sample_109506,fifo,109506,223494,295790,519284,0.4303887660702044
input_samples\input1\qwenA_sample_87604,fifo,87604,214029,305255,519284,0.4121617457884318
input_samples\input1\qwenA_sample_43802,fifo,43802,175216,344068,519284,0.337418445397894
input_samples\input1\qwenA_sample_175209,fifo,175209,239727,279557,519284,0.4616491168609085
input_samples\input1\qwenA_sample_54753,fifo,54753,190133,329151,519284,0.36614453747852815
